Dialect	Target	ASR Output	WER	CER
valencià	la mort	la mort	0.0	0.0
valencià	ocasionalment reaparegué el seu nom  més  encara que continuà component  la seva ressonància fou escassa	ocasionalment reaparegué el seu nom  més  encara que continuà componint  la seva ressonància fou escassa	0.06666666666666670	0.009615384615384620
valencià	això va permetre la creació dels primers canals de televisió privats	això va permetre la creació dels primers canats de televisió privats	0.09090909090909090	0.014705882352941200
valencià	actualment és un mineral aprovat per l'associació mineralògica internacional però qüestionat per la mateixa associació	actualment és un mineral aprovat per l'associació mineralògica internacional  però qüestionat per la mateixa associació	0.0	0.0
valencià	s'utilitza sobre animacions publicitàries  curtmetratges animats i sèries d'animació  entre altres	s'utilitza sobre animacions publicitàries  coormetratges animats i sèries d'animació entre altres	0.09090909090909090	0.030612244897959200
valencià	reserva'm un bitllet de tren per anar a santa eulàlia de ronçana dimecres a les tres	reserva'm un bitllet de tren per anar a santa eulàlia de ronçana dimecres a les dres	0.0625	0.011904761904761900
valencià	conté informació sobre el processador actual	conté informació sobr el processadora actual	0.3333333333333330	0.045454545454545500
valencià	travessa la solella gran el camí de l'ullar	travessa la solella grant el camí de l'ullar	0.125	0.023255813953488400
valencià	per als aborígens australians és un animal totèmic	per als aborígens australians és un animal totèmic	0.0	0.0
valencià	el meu número es el sis  noranta dos  seixanta cinc  quaranta sis  noranta vuit	el meu número es el sis  noranta dos  seisanta cinc  quaranta sis  noranta vuit	0.07142857142857140	0.012658227848101300
valencià	va ser obertament gai en una època en què ser ho era poc comú	va ser obert a bengai en una època en què sero era poc cobú	0.42857142857142900	0.13114754098360700
valencià	la remodelació també es va retardar quan es van descobrir les criptes	la remodelació també es va retardar quan es van descobrir les criptes	0.0	0.0
valencià	fer li la vaca	fer li la vaca	0.0	0.0
valencià	al capdavall és un ximple	el capdevall és un ximple	0.4	0.08
valencià	preferiria visitar benicull de xúquer	preferiria visitar benicull de xúquer	0.0	0.0
valencià	dues nenes caminen en una desfilada	dues nenes caminen en una desfilada	0.0	0.0
valencià	s'organitza  com gairebé tots els partits comunistes del món  sota el principi del centralisme democràtic	s'organitzà com gairebé totsels partits comunistes del món sota el principi ddel centralisme democràtic	0.26666666666666700	0.01904761904761910
valencià	malgrat les crítiques desiguals  el llibre va ser un èxit comercial i va guanyar nombrosos premis	malgrat les crítiques desiguals  el llibre va ser un èxit comercial i va guanyar nombrosos premis	0.0	0.0
valencià	el nou d'octubre en quer i na vera voldrien anar a piles	el nou d'octubre en quel i na vera voldrien anar a piles	0.08333333333333330	0.017857142857142900
valencià	pintor paisatgista  moltes de les seves obres es basen en els seus viatges	pintor paisatgista  moltes de les seves obres  es basen en els seus viatges	0.0	0.0
valencià	qui no du corda  de set s'ofega	no educarda de set sofega	0.5714285714285710	0.25806451612903200
valencià	hi ha més metges que malalts	hi ha més metges que malalts	0.0	0.0
valencià	el pare es mirava amb resignació aquell joc de boles	el pare es mirava amb resignació aquell joc de boles	0.0	0.0
valencià	la costa est té una platja d'arena neta  mentre que la costa oest és rocosa	la costa est té una platja d'arina neta mentre què la costa oest és rocosa	0.13333333333333300	0.02666666666666670
valencià	van escollir el nom traient trossos de paper amb paraules d'un barret	van escollir el nom traient trossos de paper amb paraules d'un barret	0.0	0.0
valencià	l'orientació vertical va resultar ser un obstacle per a la conversió a casa	l'orientació vertical va resultar sen un obstacle per a la conversió a casa	0.07692307692307690	0.013333333333333300
valencià	destaquem també el dibuix floral de l'arrebossat de la façana  de color verd i blanc	destaquem també el dibuix floral de l'arrebossat de la façana  de color verd i blanc	0.0	0.0
valencià	a més  el vehicle havia passat recentment una revisió tècnica	a més  el vehicle havia passat recentment una revisió tècnica	0.0	0.0
valencià	es coneix com a antic canal d'ausable	es coneix com a antic canal d'ausable	0.0	0.0
valencià	la parella de landy és l'artista britànica gillian wearing	la parella de landy és l'artista britànica jilianwiring	0.2222222222222220	0.06896551724137930
valencià	en acabar la guerra va marxar a frança	en acabar la guerra va marxar a frança	0.0	0.0
valencià	més val morir dret que viure agenollat	més val morir dret que viure's enullat	0.2857142857142860	0.10526315789473700
valencià	s'han descrit dues espècies dins aquest gènere	s'han descrit dues espècies diens aquest gènere	0.14285714285714300	0.021739130434782600
valencià	quines botigues hi ha al carrer d'ourense	quines botigues hi ha al carrer d'orence	0.14285714285714300	0.04878048780487810
valencià	és l'única regla d'un orde religiós escrita per una dona	és l'única regla d'un orde religiós escrita per una dona	0.0	0.0
